id,bedrooms_total,baths_total,acres,sq_ft_tot_fn, tax_gross_amount,assessment_value_town,garage_capacity,address,city,garage_type,year_built,total_stories,surveyed,seasonal,water_body_type,water_frontage_length,short_sale,rooms_total,garage,flood_zone,easements,current_use,covenants,common_land_acres,basement_access_type,basement,price_closed
1,3,3,1.58,3740,11044,538200,2,591 Church Hill Road,Woodstock,Under,1970,2,Yes,No,,,No,14,Yes,No,,No,Unknown,,Interior,Yes,495000
2,4,3,5.19,2276,13438,696500,2,354 Grove Hill Rd,Woodstock,Detached,1990,2,Yes,No,,,,9,Yes,No,,,No,,Walkout,No,540000
3,4,3,0.84,2200,6361,329700,1,4 Prospect,Woodstock,Carport,1800,2,No,No,,,,10,Yes,No,,No,No,,Interior,Yes,460000
4,3,3,15.4,2926,11829,697600,2,529 Stage Road,Pomfret,Attached,1995,2,Yes,No,Brook,,,7,Yes,No,Yes,No,Yes,,Interior,Yes,500000
5,4,5,4,2817,10707,512100,2,283 Laughlin,Woodstock,Detached,1968,1.5,Yes,No,,,No,6,Yes,No,,,Yes,,Interior,Yes,605914
6,5,3,54.07,4030,,1460710,4,121 Gills Rd,Barnard,Attached,1986,1.75,Yes,No,Pond,,No,12,Yes,No,,Yes,Yes,,Interior,Yes,1000000
7,4,4,23.8,2780,18277,756570,0,633 North Road,Barnard,,1830,2,Yes,No,,,,9,No,No,,,No,,Interior,Yes,875000
8,3,3,10.33,2200,6708,,1,700 John Darling Road,Woodstock,Attached,1997,2,Yes,No,Brook,,,7,Yes,No,,,No,,Walkout,Yes,300000
9,4,4,0.29,3324,10459,731280,0,50 NORTH RD,Barnard,,1793,2.5,Yes,No,Lake,,,11,No,Unknown,,No,Unknown,,Interior,Yes,537500
10,5,2,1.3,3732,15047,1140000,1,37 Elm Street,Woodstock,Attached,1801,2.5,No,No,Brook,180,,11,Yes,Yes,,,No,,,Yes,825000
11,3,3,24.1,2309,13144,681300,3,441 Spruce Way,Woodstock,Attached,1986,2,Yes,No,,,,8,Yes,No,,No,Yes,,,No,680000
12,3,3,5,2940,7297,456000,2,7856 Vermont Rt 12,Barnard,Attached,1988,2,Unknown,No,,,,9,Yes,No,,No,No,,,Yes,322000
13,4,3,163.1,4154,,1356440,3,1510 Wayside Road,Barnard,Attached,1805,2.5,No,No,Pond,,No,12,Yes,Unknown,,No,No,,Walkout,Yes,1450000
14,3,2,5.7,1538,7148,370500,0,4300 West Woodstock Road,Woodstock,,1988,2,Yes,No,,,No,10,No,No,,No,No,,Interior,No,370000
15,4,4,43,3400,10476,916770,3,253 North Road,Barnard,Attached,2008,2,Yes,No,,,,8,Yes,No,Yes,Yes,No,,Walkout,Yes,930000
16,6,7,563,4700,36389,832100,2,592 Quinn Road Road,Woodstock,Detached,1930,2,Yes,No,,,No,13,Yes,No,,Yes,No,,Interior,Yes,2500000
17,4,4,23,3500,15202,834980,2,1162 Galaxy Hill,Pomfret,Detached,1800,1.5,Yes,No,,,No,9,Yes,No,Yes,No,Unknown,,Walkout,Yes,700000
18,2,2,0.13,1600,8100,335200,1,79 Central Street,Woodstock,Carport,1826,2,No,No,,,,6,Yes,No,,,No,,Interior,Yes,334000
19,5,4,18.7,3600,13260,687300,2,3578 Church Hill Road,Woodstock,Attached,1999,2,Yes,No,,,No,10,Yes,No,,,No,,Interior,Yes,540000
20,5,5,9.39,5710,12915,832500,3,4445 South Road,Woodstock,Under,1974,2,Yes,No,Pond,,No,18,Yes,No,,No,Unknown,,Interior,Yes,500000
21,3,2,2.68,1720,5495,316300,1,160 Cowdrey Path,Woodstock,Detached,1968,1,Unknown,No,,,No,6,Yes,No,,No,No,,Interior,Yes,370000
22,3,3,15.4,2926,10766,591330,2,529 Stage Road,Pomfret,Attached,1995,2,Yes,No,Brook,,No,9,Yes,No,Yes,,No,,Interior,Yes,575000
23,3,3,41.5,3213,17153,889100,2,285 English Mills Way,Woodstock,Attached,1986,1.75,Yes,No,,,No,10,Yes,No,,Yes,Yes,,Interior,Yes,675000
24,1,1,67.96,1272,,2155650,2,480 Thistle Hill Road,Pomfret,Attached,1998,1,Yes,No,,,No,5,Yes,No,,,Unknown,,Interior,Yes,350000
25,4,4,6,3266,12637,637900,2,1548 Peterkin Hill Rd,Woodstock,Attached,1999,2.5,Yes,No,,,,10,Yes,No,,,Yes,,,Yes,630000
26,6,5,26.19,5916,45702,1543810,1,1 High Pastures Road,Pomfret,Attached,1818,1.5,Yes,No,Pond,,,15,Yes,No,,Yes,No,,Walkout,Yes,1800000
27,3,2,0.17,2000,5819,301600,1,16 Lincoln Street,Woodstock,Attached,1979,2.5,Unknown,No,,,No,8,Yes,No,,No,No,,Walkout,Yes,305000
28,2,2,4.1,1550,7069,338100,0,3827 Hartland Hill Road,Woodstock,,1914,2.5,Yes,No,Pond,,No,9,No,No,Yes,,Yes,,Interior,Yes,400000
29,3,3,45,2968,11660,708670,3,1000 Old Mt. Hunger Road,Barnard,Attached,1988,2,No,No,,,No,9,Yes,No,,Yes,No,,Interior,Yes,449000
30,4,3,7,3064,6736,389600,4,2876 Hartland Hill Rd,Woodstock,Attached,1807,1.5,No,No,Pond,,,14,Yes,No,,Yes,No,,Interior,Yes,375000
31,3,2,9.88,1800,6953,,0,6603 Dunham Hill,Woodstock,,1910,2,Yes,No,Brook,,No,9,No,Unknown,,No,Unknown,,Walkout,Yes,380000
32,6,8,121.39,5336,38108,2893100,2,826 Fletcher Schoolhouse Road,Woodstock,Detached,1817,3,Yes,No,,,No,15,Yes,No,,No,No,,Interior,Yes,1950000
33,3,2,11.41,2016,8749,453000,2,3480 Hartland Hill Road,Woodstock,Attached,1951,1.5,Yes,No,,,,7,Yes,No,Yes,No,No,,Interior,Yes,390000
34,2,2,74.89,800,4441,,0,342 Rolling Ridge Drive,Pomfret,,2004,1.5,Yes,Yes,,,,4,No,Unknown,,Yes,No,,,,850000
